source,frame,sub,field,index,got
OVERFLOW,66,1,fixed_gain_q14,-1,830208
OVERFLOW,66,1,past_exc_rms_x100,-1,31067
OVERFLOW,66,1,past_tail_rms_x100,-1,31914
OVERFLOW,66,1,adaptive_v_rms_x100,-1,32028
OVERFLOW,66,1,pitch_contrib_rms_x100,-1,32607
OVERFLOW,66,1,fixed_contrib_rms_x100,-1,1965
OVERFLOW,66,1,excitation_u_rms_x100,-1,32416
OVERFLOW,66,1,pitch_to_fixed_ratio_x100,-1,1659
OVERFLOW,66,1,past_to_fixed_ratio_x100,-1,1581
OVERFLOW,67,0,bitstream_ga,-1,4
OVERFLOW,67,0,bitstream_gb,-1,11
OVERFLOW,67,0,pitch_t_int,-1,24
OVERFLOW,67,0,pitch_t_frac,-1,0
OVERFLOW,67,0,adaptive_gain_before_q14,-1,16025
OVERFLOW,67,0,pitch_instability_flag_q0,-1,0
OVERFLOW,67,0,adaptive_gain_after_pitch_instability_q14,-1,16025
OVERFLOW,67,0,fixed_gain_q14,-1,839264
OVERFLOW,67,0,past_exc_rms_x100,-1,31777
OVERFLOW,67,0,past_tail_rms_x100,-1,32416
OVERFLOW,67,0,adaptive_v_rms_x100,-1,32219
OVERFLOW,67,0,pitch_contrib_rms_x100,-1,31507
OVERFLOW,67,0,fixed_contrib_rms_x100,-1,1965
OVERFLOW,67,0,excitation_u_rms_x100,-1,31684
OVERFLOW,67,0,pitch_to_fixed_ratio_x100,-1,1603
OVERFLOW,67,0,past_to_fixed_ratio_x100,-1,1617
OVERFLOW,67,1,bitstream_ga,-1,1
OVERFLOW,67,1,bitstream_gb,-1,9
OVERFLOW,67,1,pitch_t_int,-1,24
OVERFLOW,67,1,pitch_t_frac,-1,0
OVERFLOW,67,1,adaptive_gain_before_q14,-1,16683
OVERFLOW,67,1,pitch_instability_flag_q0,-1,0
OVERFLOW,67,1,adaptive_gain_after_pitch_instability_q14,-1,16683
OVERFLOW,67,1,fixed_gain_q14,-1,886560
OVERFLOW,67,1,past_exc_rms_x100,-1,31881
OVERFLOW,67,1,past_tail_rms_x100,-1,31684
OVERFLOW,67,1,adaptive_v_rms_x100,-1,31605
OVERFLOW,67,1,pitch_contrib_rms_x100,-1,32182
OVERFLOW,67,1,fixed_contrib_rms_x100,-1,2183
OVERFLOW,67,1,excitation_u_rms_x100,-1,32740
OVERFLOW,67,1,pitch_to_fixed_ratio_x100,-1,1474
OVERFLOW,67,1,past_to_fixed_ratio_x100,-1,1461
OVERFLOW,68,0,bitstream_ga,-1,3
OVERFLOW,68,0,bitstream_gb,-1,11
OVERFLOW,68,0,pitch_t_int,-1,24
OVERFLOW,68,0,pitch_t_frac,-1,0
OVERFLOW,68,0,adaptive_gain_before_q14,-1,16115
OVERFLOW,68,0,pitch_instability_flag_q0,-1,0
OVERFLOW,68,0,adaptive_gain_after_pitch_instability_q14,-1,16115
OVERFLOW,68,0,fixed_gain_q14,-1,1478912
OVERFLOW,68,0,past_exc_rms_x100,-1,32118
OVERFLOW,68,0,past_tail_rms_x100,-1,32740
OVERFLOW,68,0,adaptive_v_rms_x100,-1,32174
OVERFLOW,68,0,pitch_contrib_rms_x100,-1,31644
OVERFLOW,68,0,fixed_contrib_rms_x100,-1,3645
OVERFLOW,68,0,excitation_u_rms_x100,-1,32780
OVERFLOW,68,0,pitch_to_fixed_ratio_x100,-1,868
OVERFLOW,68,0,past_to_fixed_ratio_x100,-1,881
OVERFLOW,69,0,bitstream_ga,-1,7
OVERFLOW,69,0,bitstream_gb,-1,1
OVERFLOW,69,0,pitch_t_int,-1,24
OVERFLOW,69,0,pitch_t_frac,-1,0
OVERFLOW,69,0,adaptive_gain_before_q14,-1,17356
OVERFLOW,69,0,pitch_instability_flag_q0,-1,0
OVERFLOW,69,0,adaptive_gain_after_pitch_instability_q14,-1,17356
OVERFLOW,69,0,fixed_gain_q14,-1,1587840
OVERFLOW,69,0,past_exc_rms_x100,-1,32457
OVERFLOW,69,0,past_tail_rms_x100,-1,32895
OVERFLOW,69,0,adaptive_v_rms_x100,-1,32428
OVERFLOW,69,0,pitch_contrib_rms_x100,-1,34344
OVERFLOW,69,0,fixed_contrib_rms_x100,-1,3738
OVERFLOW,69,0,excitation_u_rms_x100,-1,33163
OVERFLOW,69,0,pitch_to_fixed_ratio_x100,-1,919
OVERFLOW,69,0,past_to_fixed_ratio_x100,-1,868
OVERFLOW,70,1,bitstream_ga,-1,1
OVERFLOW,70,1,bitstream_gb,-1,3
OVERFLOW,70,1,pitch_t_int,-1,24
OVERFLOW,70,1,pitch_t_frac,-1,0
OVERFLOW,70,1,adaptive_gain_before_q14,-1,17663
OVERFLOW,70,1,pitch_instability_flag_q0,-1,0
OVERFLOW,70,1,adaptive_gain_after_pitch_instability_q14,-1,17663
OVERFLOW,70,1,fixed_gain_q14,-1,1267456
OVERFLOW,70,1,past_exc_rms_x100,-1,31947
OVERFLOW,70,1,past_tail_rms_x100,-1,32049
OVERFLOW,70,1,adaptive_v_rms_x100,-1,32357
OVERFLOW,70,1,pitch_contrib_rms_x100,-1,34879
OVERFLOW,70,1,fixed_contrib_rms_x100,-1,2969
OVERFLOW,70,1,excitation_u_rms_x100,-1,35460
OVERFLOW,70,1,pitch_to_fixed_ratio_x100,-1,1175
OVERFLOW,70,1,past_to_fixed_ratio_x100,-1,1076
OVERFLOW,71,0,bitstream_ga,-1,4
OVERFLOW,71,0,bitstream_gb,-1,7
OVERFLOW,71,0,pitch_t_int,-1,24
OVERFLOW,71,0,pitch_t_frac,-1,0
OVERFLOW,71,0,adaptive_gain_before_q14,-1,17265
OVERFLOW,71,0,pitch_instability_flag_q0,-1,0
OVERFLOW,71,0,adaptive_gain_after_pitch_instability_q14,-1,17265
OVERFLOW,71,0,fixed_gain_q14,-1,766496
OVERFLOW,71,0,past_exc_rms_x100,-1,32678
OVERFLOW,71,0,past_tail_rms_x100,-1,35460
OVERFLOW,71,0,adaptive_v_rms_x100,-1,34657
OVERFLOW,71,0,pitch_contrib_rms_x100,-1,36518
OVERFLOW,71,0,fixed_contrib_rms_x100,-1,1799
OVERFLOW,71,0,excitation_u_rms_x100,-1,37307
OVERFLOW,71,0,pitch_to_fixed_ratio_x100,-1,2030
OVERFLOW,71,0,past_to_fixed_ratio_x100,-1,1817
OVERFLOW,71,1,bitstream_ga,-1,4
OVERFLOW,71,1,bitstream_gb,-1,11
OVERFLOW,71,1,pitch_t_int,-1,24
OVERFLOW,71,1,pitch_t_frac,-1,0
OVERFLOW,71,1,adaptive_gain_before_q14,-1,16025
OVERFLOW,71,1,pitch_instability_flag_q0,-1,0
OVERFLOW,71,1,adaptive_gain_after_pitch_instability_q14,-1,16025
OVERFLOW,71,1,fixed_gain_q14,-1,713888
OVERFLOW,71,1,past_exc_rms_x100,-1,33969
OVERFLOW,71,1,past_tail_rms_x100,-1,37307
OVERFLOW,71,1,adaptive_v_rms_x100,-1,37357
OVERFLOW,71,1,pitch_contrib_rms_x100,-1,36538
OVERFLOW,71,1,fixed_contrib_rms_x100,-1,1690
OVERFLOW,71,1,excitation_u_rms_x100,-1,36708
OVERFLOW,71,1,pitch_to_fixed_ratio_x100,-1,2163
OVERFLOW,71,1,past_to_fixed_ratio_x100,-1,2011
OVERFLOW,72,0,bitstream_ga,-1,3
OVERFLOW,72,0,bitstream_gb,-1,11
OVERFLOW,72,0,pitch_t_int,-1,24
OVERFLOW,72,0,pitch_t_frac,-1,0
OVERFLOW,72,0,adaptive_gain_before_q14,-1,16115
OVERFLOW,72,0,pitch_instability_flag_q0,-1,0
OVERFLOW,72,0,adaptive_gain_after_pitch_instability_q14,-1,16115
OVERFLOW,72,0,fixed_gain_q14,-1,996032
OVERFLOW,72,0,past_exc_rms_x100,-1,35457
OVERFLOW,72,0,past_tail_rms_x100,-1,36708
OVERFLOW,72,0,adaptive_v_rms_x100,-1,36923
OVERFLOW,72,0,pitch_contrib_rms_x100,-1,36319
OVERFLOW,72,0,fixed_contrib_rms_x100,-1,2474
OVERFLOW,72,0,excitation_u_rms_x100,-1,36651
OVERFLOW,72,0,pitch_to_fixed_ratio_x100,-1,1468
OVERFLOW,72,0,past_to_fixed_ratio_x100,-1,1433
OVERFLOW,72,1,bitstream_ga,-1,1
OVERFLOW,72,1,bitstream_gb,-1,9
OVERFLOW,72,1,pitch_t_int,-1,24
OVERFLOW,72,1,pitch_t_frac,-1,0
OVERFLOW,72,1,adaptive_gain_before_q14,-1,16683
OVERFLOW,72,1,pitch_instability_flag_q0,-1,0
OVERFLOW,72,1,adaptive_gain_after_pitch_instability_q14,-1,16683
OVERFLOW,72,1,fixed_gain_q14,-1,995360
OVERFLOW,72,1,past_exc_rms_x100,-1,36469
OVERFLOW,72,1,past_tail_rms_x100,-1,36651
OVERFLOW,72,1,adaptive_v_rms_x100,-1,35558
OVERFLOW,72,1,pitch_contrib_rms_x100,-1,36214
OVERFLOW,72,1,fixed_contrib_rms_x100,-1,2474
OVERFLOW,72,1,excitation_u_rms_x100,-1,36608
OVERFLOW,72,1,pitch_to_fixed_ratio_x100,-1,1464
OVERFLOW,72,1,past_to_fixed_ratio_x100,-1,1474
OVERFLOW,73,1,bitstream_ga,-1,1
OVERFLOW,73,1,bitstream_gb,-1,9
OVERFLOW,73,1,pitch_t_int,-1,32
OVERFLOW,73,1,pitch_t_frac,-1,0
OVERFLOW,73,1,adaptive_gain_before_q14,-1,16683
OVERFLOW,73,1,pitch_instability_flag_q0,-1,0
OVERFLOW,73,1,adaptive_gain_after_pitch_instability_q14,-1,16683
OVERFLOW,73,1,fixed_gain_q14,-1,1757504
OVERFLOW,73,1,past_exc_rms_x100,-1,36818
OVERFLOW,73,1,past_tail_rms_x100,-1,38117
OVERFLOW,73,1,adaptive_v_rms_x100,-1,38332
OVERFLOW,73,1,pitch_contrib_rms_x100,-1,39036
OVERFLOW,73,1,fixed_contrib_rms_x100,-1,3892
OVERFLOW,73,1,excitation_u_rms_x100,-1,39848
OVERFLOW,73,1,pitch_to_fixed_ratio_x100,-1,1003
OVERFLOW,73,1,past_to_fixed_ratio_x100,-1,946
OVERFLOW,74,0,bitstream_ga,-1,1
OVERFLOW,74,0,bitstream_gb,-1,9
OVERFLOW,74,0,pitch_t_int,-1,32
OVERFLOW,74,0,pitch_t_frac,-1,0
OVERFLOW,74,0,adaptive_gain_before_q14,-1,16683
OVERFLOW,74,0,pitch_instability_flag_q0,-1,0
OVERFLOW,74,0,adaptive_gain_after_pitch_instability_q14,-1,16683
OVERFLOW,74,0,fixed_gain_q14,-1,1696768
OVERFLOW,74,0,past_exc_rms_x100,-1,37798
OVERFLOW,74,0,past_tail_rms_x100,-1,39848
OVERFLOW,74,0,adaptive_v_rms_x100,-1,38230
OVERFLOW,74,0,pitch_contrib_rms_x100,-1,38932
OVERFLOW,74,0,fixed_contrib_rms_x100,-1,3541
OVERFLOW,74,0,excitation_u_rms_x100,-1,38841
OVERFLOW,74,0,pitch_to_fixed_ratio_x100,-1,1099
OVERFLOW,74,0,past_to_fixed_ratio_x100,-1,1067
OVERFLOW,75,1,bitstream_ga,-1,5
OVERFLOW,75,1,bitstream_gb,-1,1
