source,frame,sub,field,index,expected,note
TAME,26,1,past_exc_pre_acb_q0,67,,blank_unavailable
TAME,26,1,past_exc_pre_acb_q0,68,,blank_unavailable
TAME,26,1,past_exc_pre_acb_q0,69,,blank_unavailable
TAME,26,1,past_exc_pre_acb_q0,70,,blank_unavailable
TAME,26,1,past_exc_pre_acb_q0,71,,blank_unavailable
TAME,26,1,past_exc_pre_acb_q0,72,,blank_unavailable
TAME,26,1,past_exc_pre_acb_q0,73,,blank_unavailable
TAME,26,1,past_exc_pre_acb_q0,74,,blank_unavailable
TAME,26,1,past_exc_pre_acb_q0,75,,blank_unavailable
TAME,26,1,past_exc_pre_acb_q0,76,,blank_unavailable
TAME,26,1,past_exc_pre_acb_q0,77,,blank_unavailable
TAME,26,1,past_exc_pre_acb_q0,78,,blank_unavailable
TAME,26,1,past_exc_pre_acb_q0,79,,blank_unavailable
TAME,26,1,past_exc_pre_acb_q0,80,,blank_unavailable
TAME,26,1,past_exc_pre_acb_q0,81,,blank_unavailable
TAME,26,1,past_exc_pre_acb_q0,82,,blank_unavailable
TAME,26,1,past_exc_pre_acb_q0,83,,blank_unavailable
TAME,26,1,past_exc_pre_acb_q0,84,,blank_unavailable
TAME,26,1,past_exc_pre_acb_q0,85,,blank_unavailable
TAME,26,1,past_exc_pre_acb_q0,86,,blank_unavailable
TAME,26,1,past_exc_pre_acb_q0,87,,blank_unavailable
TAME,26,1,past_exc_pre_acb_q0,88,,blank_unavailable
TAME,26,1,past_exc_pre_acb_q0,89,,blank_unavailable
TAME,26,1,past_exc_pre_acb_q0,90,,blank_unavailable
TAME,26,1,past_exc_pre_acb_q0,91,,blank_unavailable
TAME,26,1,past_exc_pre_acb_q0,92,,blank_unavailable
TAME,26,1,past_exc_pre_acb_q0,93,,blank_unavailable
TAME,26,1,past_exc_pre_acb_q0,94,,blank_unavailable
TAME,26,1,past_exc_pre_acb_q0,95,,blank_unavailable
TAME,26,1,past_exc_pre_acb_q0,96,,blank_unavailable
