vector,frame,subframe,field,got
PITCH,501,-1,top_open_loop,91
PITCH,502,-1,top_open_loop,29
PITCH,503,-1,top_open_loop,32
PITCH,504,-1,top_open_loop,29
PITCH,505,-1,top_open_loop,30
PITCH,506,-1,top_open_loop,20
PITCH,507,-1,top_open_loop,31
PITCH,508,-1,top_open_loop,121
PITCH,509,-1,top_open_loop,30
PITCH,510,-1,top_open_loop,31
PITCH,511,-1,top_open_loop,30
PITCH,512,-1,top_open_loop,74
PITCH,513,-1,top_open_loop,31
PITCH,514,-1,top_open_loop,94
PITCH,515,-1,top_open_loop,32
PITCH,516,-1,top_open_loop,30
PITCH,517,-1,top_open_loop,31
PITCH,518,-1,top_open_loop,32
PITCH,519,-1,top_open_loop,137
PITCH,520,-1,top_open_loop,93
PITCH,521,-1,top_open_loop,32
PITCH,522,-1,top_open_loop,30
PITCH,523,-1,top_open_loop,30
PITCH,524,-1,top_open_loop,31
PITCH,525,-1,top_open_loop,20
PITCH,526,-1,top_open_loop,32
PITCH,527,-1,top_open_loop,125
PITCH,528,-1,top_open_loop,30
PITCH,529,-1,top_open_loop,96
PITCH,530,-1,top_open_loop,31
PITCH,531,-1,top_open_loop,20
PITCH,532,-1,top_open_loop,33
PITCH,533,-1,top_open_loop,97
PITCH,534,-1,top_open_loop,129
PITCH,535,-1,top_open_loop,31
PITCH,536,-1,top_open_loop,33
PITCH,537,-1,top_open_loop,37
PITCH,538,-1,top_open_loop,139
PITCH,539,-1,top_open_loop,64
PITCH,540,-1,top_open_loop,32
PITCH,541,-1,top_open_loop,126
PITCH,542,-1,top_open_loop,32
PITCH,543,-1,top_open_loop,32
PITCH,544,-1,top_open_loop,139
PITCH,545,-1,top_open_loop,33
PITCH,546,-1,top_open_loop,32
PITCH,547,-1,top_open_loop,99
PITCH,548,-1,top_open_loop,32
PITCH,549,-1,top_open_loop,98
PITCH,550,-1,top_open_loop,77
PITCH,551,-1,top_open_loop,33
PITCH,552,-1,top_open_loop,99
PITCH,553,-1,top_open_loop,31
PITCH,554,-1,top_open_loop,32
PITCH,555,-1,top_open_loop,35
PITCH,556,-1,top_open_loop,37
PITCH,557,-1,top_open_loop,140
PITCH,558,-1,top_open_loop,67
PITCH,559,-1,top_open_loop,132
PITCH,560,-1,top_open_loop,32
PITCH,561,-1,top_open_loop,33
PITCH,562,-1,top_open_loop,33
PITCH,563,-1,top_open_loop,140
PITCH,564,-1,top_open_loop,34
PITCH,565,-1,top_open_loop,133
PITCH,566,-1,top_open_loop,32
