field,frame,tap,L0,L1,L2,L3,col,got
weight_lsf,3,-1,-1,-1,-1,-1,1,721
weight_lsf,3,-1,-1,-1,-1,-1,2,721
weight_lsf,3,-1,-1,-1,-1,-1,3,721
weight_lsf,3,-1,-1,-1,-1,-1,4,865
weight_lsf,3,-1,-1,-1,-1,-1,5,865
weight_lsf,3,-1,-1,-1,-1,-1,6,721
weight_lsf,3,-1,-1,-1,-1,-1,7,721
weight_lsf,3,-1,-1,-1,-1,-1,8,721
weight_lsf,3,-1,-1,-1,-1,-1,9,364
target_lsf,3,-1,0,-1,-1,-1,0,1579
target_lsf,3,-1,0,-1,-1,-1,1,5426
target_lsf,3,-1,0,-1,-1,-1,2,7251
target_lsf,3,-1,0,-1,-1,-1,3,9639
target_lsf,3,-1,0,-1,-1,-1,4,11858
target_lsf,3,-1,0,-1,-1,-1,5,13714
target_lsf,3,-1,0,-1,-1,-1,6,16734
target_lsf,3,-1,0,-1,-1,-1,7,19090
target_lsf,3,-1,0,-1,-1,-1,8,20565
target_lsf,3,-1,0,-1,-1,-1,9,23032
target_lsf,3,-1,1,-1,-1,-1,0,2035
target_lsf,3,-1,1,-1,-1,-1,1,5000
target_lsf,3,-1,1,-1,-1,-1,2,6969
target_lsf,3,-1,1,-1,-1,-1,3,9440
target_lsf,3,-1,1,-1,-1,-1,4,11822
target_lsf,3,-1,1,-1,-1,-1,5,13915
target_lsf,3,-1,1,-1,-1,-1,6,16486
target_lsf,3,-1,1,-1,-1,-1,7,18846
target_lsf,3,-1,1,-1,-1,-1,8,20758
target_lsf,3,-1,1,-1,-1,-1,9,23089
encoder_index,3,-1,-1,-1,-1,-1,0,0
encoder_index,3,-1,-1,-1,-1,-1,1,120
encoder_index,3,-1,-1,-1,-1,-1,2,8
encoder_index,3,-1,-1,-1,-1,-1,3,13
bitstream_index,3,-1,-1,-1,-1,-1,0,0
bitstream_index,3,-1,-1,-1,-1,-1,1,120
bitstream_index,3,-1,-1,-1,-1,-1,2,5
bitstream_index,3,-1,-1,-1,-1,-1,3,0
encoder_tuple_cost,3,-1,0,120,8,13,-1,80640363
bitstream_tuple_cost,3,-1,0,120,5,0,-1,247295552
encoder_tuple_rank,3,-1,0,120,8,13,-1,1
bitstream_tuple_rank,3,-1,0,120,5,0,-1,213
predictor_memory,4,0,-1,-1,-1,-1,0,1872
predictor_memory,4,0,-1,-1,-1,-1,1,5906
predictor_memory,4,0,-1,-1,-1,-1,2,7613
predictor_memory,4,0,-1,-1,-1,-1,3,10055
predictor_memory,4,0,-1,-1,-1,-1,4,12060
predictor_memory,4,0,-1,-1,-1,-1,5,14006
predictor_memory,4,0,-1,-1,-1,-1,6,16860
predictor_memory,4,0,-1,-1,-1,-1,7,19706
predictor_memory,4,0,-1,-1,-1,-1,8,20528
predictor_memory,4,0,-1,-1,-1,-1,9,24048
predictor_memory,4,1,-1,-1,-1,-1,0,2622
predictor_memory,4,1,-1,-1,-1,-1,1,3862
predictor_memory,4,1,-1,-1,-1,-1,2,7294
predictor_memory,4,1,-1,-1,-1,-1,3,9278
predictor_memory,4,1,-1,-1,-1,-1,4,11259
predictor_memory,4,1,-1,-1,-1,-1,5,14185
predictor_memory,4,1,-1,-1,-1,-1,6,16409
predictor_memory,4,1,-1,-1,-1,-1,7,18689
predictor_memory,4,1,-1,-1,-1,-1,8,21797
predictor_memory,4,1,-1,-1,-1,-1,9,24583
predictor_memory,4,2,-1,-1,-1,-1,0,3306
predictor_memory,4,2,-1,-1,-1,-1,1,4660
predictor_memory,4,2,-1,-1,-1,-1,2,6595
predictor_memory,4,2,-1,-1,-1,-1,3,9002
predictor_memory,4,2,-1,-1,-1,-1,4,12447
predictor_memory,4,2,-1,-1,-1,-1,5,14104
predictor_memory,4,2,-1,-1,-1,-1,6,15872
predictor_memory,4,2,-1,-1,-1,-1,7,18290
predictor_memory,4,2,-1,-1,-1,-1,8,20200
predictor_memory,4,2,-1,-1,-1,-1,9,21456
predictor_memory,4,3,-1,-1,-1,-1,0,1710
predictor_memory,4,3,-1,-1,-1,-1,1,4901
predictor_memory,4,3,-1,-1,-1,-1,2,6757
predictor_memory,4,3,-1,-1,-1,-1,3,9522
predictor_memory,4,3,-1,-1,-1,-1,4,11126
predictor_memory,4,3,-1,-1,-1,-1,5,14185
predictor_memory,4,3,-1,-1,-1,-1,6,16409
predictor_memory,4,3,-1,-1,-1,-1,7,18689
predictor_memory,4,3,-1,-1,-1,-1,8,21797
predictor_memory,4,3,-1,-1,-1,-1,9,24583
omega_lsf,4,-1,-1,-1,-1,-1,0,2333
omega_lsf,4,-1,-1,-1,-1,-1,1,4674
omega_lsf,4,-1,-1,-1,-1,-1,2,7014
omega_lsf,4,-1,-1,-1,-1,-1,3,9354
omega_lsf,4,-1,-1,-1,-1,-1,4,11695
omega_lsf,4,-1,-1,-1,-1,-1,5,14033
omega_lsf,4,-1,-1,-1,-1,-1,6,16374
omega_lsf,4,-1,-1,-1,-1,-1,7,18713
omega_lsf,4,-1,-1,-1,-1,-1,8,21054
omega_lsf,4,-1,-1,-1,-1,-1,9,23394
weight_lsf,4,-1,-1,-1,-1,-1,0,501
weight_lsf,4,-1,-1,-1,-1,-1,1,721
weight_lsf,4,-1,-1,-1,-1,-1,2,721
weight_lsf,4,-1,-1,-1,-1,-1,3,721
weight_lsf,4,-1,-1,-1,-1,-1,4,865
weight_lsf,4,-1,-1,-1,-1,-1,5,865
weight_lsf,4,-1,-1,-1,-1,-1,6,721
weight_lsf,4,-1,-1,-1,-1,-1,7,721
weight_lsf,4,-1,-1,-1,-1,-1,8,721
weight_lsf,4,-1,-1,-1,-1,-1,9,364
target_lsf,4,-1,0,-1,-1,-1,0,2213
target_lsf,4,-1,0,-1,-1,-1,1,3964
target_lsf,4,-1,0,-1,-1,-1,2,6429
target_lsf,4,-1,0,-1,-1,-1,3,8822
target_lsf,4,-1,0,-1,-1,-1,4,11410
target_lsf,4,-1,0,-1,-1,-1,5,13838
target_lsf,4,-1,0,-1,-1,-1,6,16137
target_lsf,4,-1,0,-1,-1,-1,7,17991
target_lsf,4,-1,0,-1,-1,-1,8,21239
target_lsf,4,-1,0,-1,-1,-1,9,22468
target_lsf,4,-1,1,-1,-1,-1,0,2408
target_lsf,4,-1,1,-1,-1,-1,1,4260
target_lsf,4,-1,1,-1,-1,-1,2,6771
target_lsf,4,-1,1,-1,-1,-1,3,9066
target_lsf,4,-1,1,-1,-1,-1,4,11560
target_lsf,4,-1,1,-1,-1,-1,5,13987
target_lsf,4,-1,1,-1,-1,-1,6,16175
target_lsf,4,-1,1,-1,-1,-1,7,18237
target_lsf,4,-1,1,-1,-1,-1,8,21195
target_lsf,4,-1,1,-1,-1,-1,9,22943
encoder_index,4,-1,-1,-1,-1,-1,0,0
encoder_index,4,-1,-1,-1,-1,-1,1,120
encoder_index,4,-1,-1,-1,-1,-1,2,9
encoder_index,4,-1,-1,-1,-1,-1,3,26
bitstream_index,4,-1,-1,-1,-1,-1,0,0
bitstream_index,4,-1,-1,-1,-1,-1,1,120
bitstream_index,4,-1,-1,-1,-1,-1,2,2
bitstream_index,4,-1,-1,-1,-1,-1,3,27
encoder_tuple_cost,4,-1,0,120,9,26,-1,46393165
bitstream_tuple_cost,4,-1,0,120,2,27,-1,223904631
encoder_tuple_rank,4,-1,0,120,9,26,-1,1
bitstream_tuple_rank,4,-1,0,120,2,27,-1,492
predictor_memory,5,0,-1,-1,-1,-1,0,1854
predictor_memory,5,0,-1,-1,-1,-1,1,3716
predictor_memory,5,0,-1,-1,-1,-1,2,5815
predictor_memory,5,0,-1,-1,-1,-1,3,8902
predictor_memory,5,0,-1,-1,-1,-1,4,11558
predictor_memory,5,0,-1,-1,-1,-1,5,14316
predictor_memory,5,0,-1,-1,-1,-1,6,15838
predictor_memory,5,0,-1,-1,-1,-1,7,17902
predictor_memory,5,0,-1,-1,-1,-1,8,21456
predictor_memory,5,0,-1,-1,-1,-1,9,22657
predictor_memory,5,1,-1,-1,-1,-1,0,1872
predictor_memory,5,1,-1,-1,-1,-1,1,5906
predictor_memory,5,1,-1,-1,-1,-1,2,7613
predictor_memory,5,1,-1,-1,-1,-1,3,10055
predictor_memory,5,1,-1,-1,-1,-1,4,12060
predictor_memory,5,1,-1,-1,-1,-1,5,14006
predictor_memory,5,1,-1,-1,-1,-1,6,16860
predictor_memory,5,1,-1,-1,-1,-1,7,19706
predictor_memory,5,1,-1,-1,-1,-1,8,20528
predictor_memory,5,1,-1,-1,-1,-1,9,24048
predictor_memory,5,2,-1,-1,-1,-1,0,2622
predictor_memory,5,2,-1,-1,-1,-1,1,3862
predictor_memory,5,2,-1,-1,-1,-1,2,7294
predictor_memory,5,2,-1,-1,-1,-1,3,9278
predictor_memory,5,2,-1,-1,-1,-1,4,11259
predictor_memory,5,2,-1,-1,-1,-1,5,14185
predictor_memory,5,2,-1,-1,-1,-1,6,16409
predictor_memory,5,2,-1,-1,-1,-1,7,18689
predictor_memory,5,2,-1,-1,-1,-1,8,21797
predictor_memory,5,2,-1,-1,-1,-1,9,24583
predictor_memory,5,3,-1,-1,-1,-1,0,3306
predictor_memory,5,3,-1,-1,-1,-1,1,4660
predictor_memory,5,3,-1,-1,-1,-1,2,6595
predictor_memory,5,3,-1,-1,-1,-1,3,9002
predictor_memory,5,3,-1,-1,-1,-1,4,12447
predictor_memory,5,3,-1,-1,-1,-1,5,14104
predictor_memory,5,3,-1,-1,-1,-1,6,15872
