frame,selector,L1,L2,L3,ref_selector,ref_L1,ref_L2,ref_L3,col,got
56,1,17,31,0,0,17,6,24,6,14030
56,1,17,31,0,0,17,6,24,7,19323
56,1,17,31,0,0,17,6,24,8,21052
56,1,17,31,0,0,17,6,24,9,22418
57,1,2,3,30,0,2,9,24,0,1625
57,1,2,3,30,0,2,9,24,1,2058
57,1,2,3,30,0,2,9,24,2,2749
57,1,2,3,30,0,2,9,24,3,4841
57,1,2,3,30,0,2,9,24,4,9595
57,1,2,3,30,0,2,9,24,5,12619
57,1,2,3,30,0,2,9,24,6,17824
57,1,2,3,30,0,2,9,24,7,18046
57,1,2,3,30,0,2,9,24,8,21039
57,1,2,3,30,0,2,9,24,9,21839
58,1,17,15,0,0,13,6,16,0,1154
58,1,17,15,0,0,13,6,16,1,1362
58,1,17,15,0,0,13,6,16,2,1609
58,1,17,15,0,0,13,6,16,3,5311
58,1,17,15,0,0,13,6,16,4,9577
58,1,17,15,0,0,13,6,16,5,12936
58,1,17,15,0,0,13,6,16,6,14030
58,1,17,15,0,0,13,6,16,7,19323
58,1,17,15,0,0,13,6,16,8,21052
58,1,17,15,0,0,13,6,16,9,22418
59,0,2,11,18,0,2,9,24,0,1254
59,0,2,11,18,0,2,9,24,1,1949
59,0,2,11,18,0,2,9,24,2,2832
59,0,2,11,18,0,2,9,24,3,3614
59,0,2,11,18,0,2,9,24,4,10634
59,0,2,11,18,0,2,9,24,5,14778
59,0,2,11,18,0,2,9,24,6,18125
59,0,2,11,18,0,2,9,24,7,18386
59,0,2,11,18,0,2,9,24,8,20388
59,0,2,11,18,0,2,9,24,9,21479
60,1,97,9,7,0,17,11,27,0,1264
