source,frame,sub,field,index,got
ALGTHM,0,0,pcm_q0,38,0
ALGTHM,0,0,pcm_q0,39,0
ALGTHM,0,1,pitch_t_int,-1,20
ALGTHM,0,1,pitch_t_frac,-1,0
ALGTHM,0,1,adaptive_gain_q14,-1,6516
ALGTHM,0,1,fixed_gain_q14,-1,181888
ALGTHM,0,1,fixed_gain_x1e6,-1,11101563
ALGTHM,0,1,adaptive_v_q0,0,1
ALGTHM,0,1,adaptive_v_q0,1,1
ALGTHM,0,1,adaptive_v_q0,2,1
ALGTHM,0,1,adaptive_v_q0,3,1
ALGTHM,0,1,adaptive_v_q0,4,0
ALGTHM,0,1,adaptive_v_q0,5,0
ALGTHM,0,1,adaptive_v_q0,6,0
ALGTHM,0,1,adaptive_v_q0,7,0
ALGTHM,0,1,adaptive_v_q0,8,0
ALGTHM,0,1,adaptive_v_q0,9,0
ALGTHM,0,1,adaptive_v_q0,10,0
ALGTHM,0,1,adaptive_v_q0,11,0
ALGTHM,0,1,adaptive_v_q0,12,0
ALGTHM,0,1,adaptive_v_q0,13,0
ALGTHM,0,1,adaptive_v_q0,14,0
ALGTHM,0,1,adaptive_v_q0,15,0
ALGTHM,0,1,adaptive_v_q0,16,0
ALGTHM,0,1,adaptive_v_q0,17,0
ALGTHM,0,1,adaptive_v_q0,18,0
ALGTHM,0,1,adaptive_v_q0,19,0
ALGTHM,0,1,adaptive_v_q0,20,1
ALGTHM,0,1,adaptive_v_q0,21,1
ALGTHM,0,1,adaptive_v_q0,22,1
ALGTHM,0,1,adaptive_v_q0,23,1
ALGTHM,0,1,adaptive_v_q0,24,0
ALGTHM,0,1,adaptive_v_q0,25,0
ALGTHM,0,1,adaptive_v_q0,26,0
ALGTHM,0,1,adaptive_v_q0,27,0
ALGTHM,0,1,adaptive_v_q0,28,0
ALGTHM,0,1,adaptive_v_q0,29,0
ALGTHM,0,1,adaptive_v_q0,30,0
ALGTHM,0,1,adaptive_v_q0,31,0
ALGTHM,0,1,adaptive_v_q0,32,0
ALGTHM,0,1,adaptive_v_q0,33,0
ALGTHM,0,1,adaptive_v_q0,34,0
ALGTHM,0,1,adaptive_v_q0,35,0
ALGTHM,0,1,adaptive_v_q0,36,0
ALGTHM,0,1,adaptive_v_q0,37,0
ALGTHM,0,1,adaptive_v_q0,38,0
ALGTHM,0,1,adaptive_v_q0,39,0
ALGTHM,0,1,fixed_c_q13,0,0
ALGTHM,0,1,fixed_c_q13,1,0
ALGTHM,0,1,fixed_c_q13,2,0
ALGTHM,0,1,fixed_c_q13,3,0
ALGTHM,0,1,fixed_c_q13,4,0
ALGTHM,0,1,fixed_c_q13,5,0
ALGTHM,0,1,fixed_c_q13,6,0
ALGTHM,0,1,fixed_c_q13,7,0
ALGTHM,0,1,fixed_c_q13,8,0
ALGTHM,0,1,fixed_c_q13,9,0
ALGTHM,0,1,fixed_c_q13,10,0
ALGTHM,0,1,fixed_c_q13,11,0
ALGTHM,0,1,fixed_c_q13,12,0
ALGTHM,0,1,fixed_c_q13,13,0
ALGTHM,0,1,fixed_c_q13,14,0
ALGTHM,0,1,fixed_c_q13,15,0
ALGTHM,0,1,fixed_c_q13,16,0
ALGTHM,0,1,fixed_c_q13,17,0
ALGTHM,0,1,fixed_c_q13,18,0
ALGTHM,0,1,fixed_c_q13,19,0
ALGTHM,0,1,fixed_c_q13,20,0
ALGTHM,0,1,fixed_c_q13,21,0
ALGTHM,0,1,fixed_c_q13,22,0
ALGTHM,0,1,fixed_c_q13,23,0
ALGTHM,0,1,fixed_c_q13,24,0
ALGTHM,0,1,fixed_c_q13,25,0
ALGTHM,0,1,fixed_c_q13,26,0
ALGTHM,0,1,fixed_c_q13,27,0
ALGTHM,0,1,fixed_c_q13,28,0
ALGTHM,0,1,fixed_c_q13,29,8192
ALGTHM,0,1,fixed_c_q13,30,8192
ALGTHM,0,1,fixed_c_q13,31,8192
ALGTHM,0,1,fixed_c_q13,32,0
ALGTHM,0,1,fixed_c_q13,33,0
ALGTHM,0,1,fixed_c_q13,34,0
ALGTHM,0,1,fixed_c_q13,35,0
ALGTHM,0,1,fixed_c_q13,36,0
ALGTHM,0,1,fixed_c_q13,37,8192
ALGTHM,0,1,fixed_c_q13,38,0
ALGTHM,0,1,fixed_c_q13,39,0
ALGTHM,0,1,pitch_contrib_q0,0,0
ALGTHM,0,1,pitch_contrib_q0,1,0
ALGTHM,0,1,pitch_contrib_q0,2,0
ALGTHM,0,1,pitch_contrib_q0,3,0
ALGTHM,0,1,pitch_contrib_q0,4,0
ALGTHM,0,1,pitch_contrib_q0,5,0
ALGTHM,0,1,pitch_contrib_q0,6,0
ALGTHM,0,1,pitch_contrib_q0,7,0
ALGTHM,0,1,pitch_contrib_q0,8,0
ALGTHM,0,1,pitch_contrib_q0,9,0
ALGTHM,0,1,pitch_contrib_q0,10,0
ALGTHM,0,1,pitch_contrib_q0,11,0
ALGTHM,0,1,pitch_contrib_q0,12,0
ALGTHM,0,1,pitch_contrib_q0,13,0
ALGTHM,0,1,pitch_contrib_q0,14,0
ALGTHM,0,1,pitch_contrib_q0,15,0
ALGTHM,0,1,pitch_contrib_q0,16,0
ALGTHM,0,1,pitch_contrib_q0,17,0
ALGTHM,0,1,pitch_contrib_q0,18,0
ALGTHM,0,1,pitch_contrib_q0,19,0
ALGTHM,0,1,pitch_contrib_q0,20,0
ALGTHM,0,1,pitch_contrib_q0,21,0
ALGTHM,0,1,pitch_contrib_q0,22,0
ALGTHM,0,1,pitch_contrib_q0,23,0
ALGTHM,0,1,pitch_contrib_q0,24,0
ALGTHM,0,1,pitch_contrib_q0,25,0
ALGTHM,0,1,pitch_contrib_q0,26,0
ALGTHM,0,1,pitch_contrib_q0,27,0
ALGTHM,0,1,pitch_contrib_q0,28,0
ALGTHM,0,1,pitch_contrib_q0,29,0
ALGTHM,0,1,pitch_contrib_q0,30,0
ALGTHM,0,1,pitch_contrib_q0,31,0
ALGTHM,0,1,pitch_contrib_q0,32,0
ALGTHM,0,1,pitch_contrib_q0,33,0
ALGTHM,0,1,pitch_contrib_q0,34,0
ALGTHM,0,1,pitch_contrib_q0,35,0
ALGTHM,0,1,pitch_contrib_q0,36,0
ALGTHM,0,1,pitch_contrib_q0,37,0
ALGTHM,0,1,pitch_contrib_q0,38,0
ALGTHM,0,1,pitch_contrib_q0,39,0
ALGTHM,0,1,fixed_contrib_q0,0,0
ALGTHM,0,1,fixed_contrib_q0,1,0
ALGTHM,0,1,fixed_contrib_q0,2,0
ALGTHM,0,1,fixed_contrib_q0,3,0
ALGTHM,0,1,fixed_contrib_q0,4,0
ALGTHM,0,1,fixed_contrib_q0,5,0
ALGTHM,0,1,fixed_contrib_q0,6,0
ALGTHM,0,1,fixed_contrib_q0,7,0
ALGTHM,0,1,fixed_contrib_q0,8,0
