frame,t_op,int_t1,delta,plausible
651,49,38,-11,false
652,38,142,104,false
653,77,39,-38,false
654,37,38,1,true
655,37,38,1,true
656,37,38,1,true
657,38,38,0,true
658,143,52,-91,false
659,38,42,4,true
660,39,38,-1,true
661,115,38,-77,false
662,38,38,0,true
663,38,38,0,true
664,20,45,25,false
665,39,139,100,false
666,40,41,1,true
667,39,39,0,true
668,39,39,0,true
669,117,39,-78,false
670,40,117,77,false
671,143,46,-97,false
672,40,39,-1,true
673,118,39,-79,false
674,38,39,1,true
675,38,39,1,true
676,39,39,0,true
677,20,52,32,false
678,39,141,102,false
679,118,39,-79,false
680,38,39,1,true
681,39,39,0,true
682,39,39,0,true
683,54,42,-12,false
684,40,137,97,false
685,40,40,0,true
686,40,40,0,true
687,40,40,0,true
688,40,40,0,true
689,50,40,-10,false
690,143,20,-123,false
691,41,38,-3,true
692,81,40,-41,false
693,81,40,-41,false
694,39,40,1,true
695,40,40,0,true
696,95,52,-43,false
697,40,43,3,true
698,122,41,-81,false
699,41,40,-1,true
700,40,40,0,true
701,40,40,0,true
702,53,40,-13,false
703,41,82,41,false
704,83,41,-42,false
705,40,41,1,true
706,40,41,1,true
707,42,41,-1,true
708,42,41,-1,true
709,20,55,35,false
710,42,38,-4,true
711,41,41,0,true
712,42,42,0,true
713,41,41,0,true
714,43,41,-2,true
715,22,20,-2,true
716,43,38,-5,true
717,43,41,-2,true
718,42,41,-1,true
719,41,41,0,true
720,41,41,0,true
721,20,47,27,false
722,42,24,-18,false
723,42,42,0,true
724,42,42,0,true
725,42,42,0,true
726,43,42,-1,true
727,43,42,-1,true
728,21,51,30,false
729,43,45,2,true
730,126,42,-84,false
731,43,42,-1,true
732,41,42,1,true
733,42,43,1,true
734,100,53,-47,false
735,42,39,-3,true
736,42,42,0,true
737,41,41,0,true
738,41,42,1,true
739,42,42,0,true
740,51,42,-9,false
741,82,23,-59,false
742,42,46,4,true
743,44,43,-1,true
744,44,43,-1,true
745,44,43,-1,true
746,50,43,-7,false
747,80,20,-60,false
748,44,40,-4,true
749,44,43,-1,true
750,42,43,1,true
751,43,43,0,true
752,43,42,-1,true
753,100,55,-45,false
754,44,40,-4,true
755,43,43,0,true
756,42,41,-1,true
757,42,43,1,true
758,87,43,-44,false
759,20,140,120,false
760,44,143,99,false
761,45,44,-1,true
762,45,44,-1,true
763,43,44,1,true
764,44,44,0,true
765,55,44,-11,false
766,44,96,52,false
767,44,44,0,true
768,44,45,1,true
769,44,44,0,true
770,44,44,0,true
771,44,44,0,true
772,20,48,28,false
773,44,90,46,false
774,45,44,-1,true
775,45,44,-1,true
776,44,44,0,true
777,45,44,-1,true
778,55,44,-11,false
779,83,25,-58,false
780,46,45,-1,true
781,46,45,-1,true
782,44,45,1,true
783,45,45,0,true
784,56,45,-11,false
785,45,98,53,false
786,45,45,0,true
787,136,45,-91,false
788,46,45,-1,true
789,46,45,-1,true
790,48,45,-3,true
791,24,20,-4,true
792,46,42,-4,true
793,45,45,0,true
794,44,48,4,true
795,46,45,-1,true
796,46,45,-1,true
797,20,53,33,false
798,46,27,-19,false
799,93,46,-47,false
800,46,46,0,true
801,47,46,-1,true
802,47,46,-1,true
803,53,46,-7,false
804,23,20,-3,true
805,46,43,-3,true
806,46,46,0,true
807,46,49,3,true
808,46,46,0,true
809,46,46,0,true
810,20,49,29,false
811,46,26,-20,false
812,47,46,-1,true
813,46,46,0,true
814,48,46,-2,true
815,46,46,0,true
816,20,55,35,false
817,47,27,-20,false
818,48,47,-1,true
819,47,47,0,true
820,48,47,-1,true
821,47,47,0,true
822,47,47,0,true
823,21,20,-1,true
824,47,47,0,true
825,45,46,1,true
826,48,47,-1,true
827,46,47,1,true
828,47,47,0,true
829,20,54,34,false
830,47,44,-3,true
831,142,49,-93,false
832,49,47,-2,true
833,47,47,0,true
834,46,46,0,true
835,54,47,-7,false
836,86,75,-11,false
837,49,51,2,true
838,47,48,1,true
839,48,48,0,true
840,49,48,-1,true
841,107,48,-59,false
842,79,20,-59,false
843,49,47,-2,true
844,48,48,0,true
845,49,51,2,true
846,49,48,-1,true
847,51,48,-3,true
848,21,20,-1,true
849,48,48,0,true
850,47,46,-1,true
